Company,2DigitNAICS
HERRING GAS,42
IMPRESSIONS SOLUTIONS,32
INN SERVE,72
JIMMY SANDERS,31
MEMORY CHAPEL FUNERAL HOME,81
MIDSOUTH AG EQUIPMENT,42
MOST ELECTRIC,33
PECO FOODS,11
REX LUMBER,42
SEWARD FARMS,42
UNITED MEDICAL,42
OPTILEAF,51
DELTA MATERIALS HANDLING,42
STARKEY PRINTING,32
SHARROCK MACHINE WELDING,33
FIRST CHOICE FARM LAWN,42
TENNESSEE HEALTH MANAGEMENT,56
HITECH FAB,33
S S SPORTSWEAR,31
ACCURITE TOOLING,33
KENNY PIPE SUPPLY,33
INTEGRITY TENNESSEE,33
SAVANNAH FOOD,31
M M SPECIALTIES,33
PALLETS PLUS,32
EQUIPMENT FINDERS,33
SUMNER CREST WINERY VINEYARD,31
HICKMANFULTON COUNTIES RURAL,22
CROUSHORN EQUIPMENT,42
FIRE ALARM SECURITY SYSTS,56
JENNMAR,42
CARBIDE PRODUCTS,33
LEE BRICK BLOCK,42
LAWSON TRACTOR IMPLEMENT,42
T H FEED SVC,42
YALE KENTUCKIANA,42
AMERICAN BOOTWORKSONE STOP,42
MOWER SHOP,44
THOMAS EQUIPMENT RENTALSALES,42
THOMPSON TRACTOR,44
REES OFFICE PRODUCTS,45
JOHNS RUN WALK SHOP,53
NESBITT ENGINEERING,54
CENTRAL PARKING SYSTEM,81
CENTRAL EQUIPMENT,42
EBMELECTRONIC BUSINESS MACH,42
DATA LINK,51
ACB RECOVERY,56
MOTCH JEWELERS,44
YOUNGS FARM MACHINERY,42
ROLF MONUMENT,45
STEEN FUNERAL HOME,81
CHOCOLATE FACTORY,44
MC KEEL EQUIPMENT,53
SOUTHSIDE MACHINE SHOP,33
DANA,33
OWENSBORO RIVERPORT AUTHORITY,48
PARRISH SHOP SALES,42
FARMERS SUPPLY,42
MC KINNEYBROWN FUNERAL HOME,81
CLINTON COUNTY HOSPITAL,62
NORRIS NEW FUNERAL HOME,45
DAY DAY FEED MILL,42
HOBART,33
ROGERS JEWELERS,44
JIM PHILLIPS RESTORATION,23
PENNYROYAL INTERIORS,44
SPRINGS URGENT CARE,62
EARLY ENVIRONMENTAL CNTRCTNG,56
WINES ON VINE,44
BLUE GRASS STOCKYARDS,42
JIM BROWN SUPPLY,44
ALLIED COMMUNICATIONS,42
CUMBERLAND CASH REGISTER,42
CLAY COUNTY MOBILE HOME PARTS,45
HAYES TRAILER SALES,44
HERINGER MEATS,44
MOOG LOUISVILLE WAREHOUSE,33
KING PHARMACY,44
R E PURNELL CONSTRUCTION,53
BEREA URGENT CARE,62
PRINT FULFILLMENT,32
RIVER GRAPHICS,32
HUBBARD TRUCKING,56
DOW CORNING,42
GREEN GROUP ENTERPRISES,42
RECYCLING MANAGEMENT RESOURCES,42
BLUE RIDGE HOMES,45
CINCINNATI CLOSETS,51
ENCORE ENTERPRISES,53
EYE SURGERY CTR PADUCAH,62
MURRAY ANIMAL HOSP PET HOTEL,54
INTERNATIONAL CRANKSHAFT,33
LEXINGTON APPRAISAL FIRM,54
EXCELL MARINE,48
SERVPRO,23
MAD AL DISTRIBUTORS,54
NATIONAL ASSET REMARKETING,54
L S ASSOC,32
CINELINE PRODUCTIONS,54
COLOSSALCOM,54
BUSY BEE SEPTIC TANK SVC,23
QUANEX WINDOW DOOR SYSTEMS,32
SAMARITAN HOSPITAL,62
DOC LANES ANIMAL CARE,45
WIRELESS MD,44
LEXINGTON CLINIC,62
SUPERIOR VAN MOBILITY,42
COHEN LEXINGTON EAST,81
DIVISION 5 FABRICATORS,33
ROPPEL INDUSTRIES,42
THOMAS PRODUCTS,32
D JS FLOORING,44
EAST KENTUCKY RENTAL SUPPLY,53
BISHOPS SMALL ENGINE REPAIR,44
SUNRISE TOOL DIE,33
B K WOOD PRODUCTS,44
RYAN TRUCKING,56
LEXINGTON OUTDOOR POWER EQPT,44
SUMMIT POLYMERS,32
HOBDY DYE READ,42
BENNETTS CARPETS,44
A W GRAHAM LUMBER,44
INDEPENDENT OPPORTUNITIES,62
GUARDIAN INDUSTRIES MOREHEAD,32
WATERJET TECHNL SVC,33
FREEDOM COMMUNICATIONS,42
KENS TOWING SVC,48
HENSLEY ELAM ASSOC,54
BEST CHOICE SUPPLY,42
TOYO SEAT USA,42
COMMERCIAL FLOOR TECH,23
BONE SAFE LOCK,56
SCOBEE FUNERAL HOME,81
PREFERRED CASE MANAGEMENT,56
ODELL EQUIPMENT,42
COMMUNITY AZTEC LIMOUSINE,48
PIKEVILLE RECREATIONAL VEHICLE,44
SUN FIBERGLASS PROD,42
DERBY CYCLES,48
SQUARE DEAL LUMBER,44
AMERICAN METAL PRODUCTS,33
CLIFFS TRUCK SVC,54
ROCKTENN,32
EAST KENTUCKY CHEMICAL,42
HYLTON SALES RENTAL,45
IDLE TIME MARINE,44
CARNEGIE VISUAL PERFORMING,45
TOTAL OFFICE PRODUCTS SVC,45
COMMONWEALTH COPY PRODUCTS,33
MAYFIELD ELECTRIC WATER,22
TOMPKINSVILLE AUTO SALVAGE,42
BARR REALTY AUCTION,54
ACCUPRINT,32
ASHLAND COMMUNITY MEDICAL EQPT,42
STARDUST VENTURES,33
J J JORDAN GERIATRIC CTR,62
JENNY WILEY THEATRE,51
BURKESVILLE MEDICAL SUPPLY,33
LEXINGTON CLINIC EAST,62
THOROUGHBRED DISPOSAL SVC,56
UNITED CLEANERS SUPPLY,42
APEX ENERGY,21
KELLYS RADIATOR SVC,33
WELDQUIP,45
MOAB OFFROAD OF LOUISVILLE,42
TRI COUNTY ANIMAL CLINIC,54
WEST VIRGINIA ELECTRIC SUPPLY,42
H S GATE,33
SANDROCK VENTURES,MI
PERSONAL MEDICINE PLUS,32
DR SCRIBBLES,MI
ATRIA SENIOR LIVING GROUP,56
INTREPID BIOINFORMATICS,54
FIRST OMNI MORTGAGE LENDING,52
HINKLE CONTRACTING,23
SECCION AMARILLA,51
ALLIANCE BIOENERGY PLUS,
ENCORE KENTUCKY 2015D,23
A M ELECTRIC,33
ASONICGUARD ALARMS,42
ADVANCE BUSINESS CONCEPTS,42
AGE INTERNATIONAL,54
ALLES BROTHERS FURNITURE,44
AMERICAN INDUSTRIAL RUBBER,42
APPLIED SURGACE TECHNOLOGY,33
ARCHITECTURAL KITCHENS BATH,33
ARROW SALVAGE,42
BAILEY,42
BANKS MILLER SUPPLY,42
BEACHY AUTO SVC,54
BEST STAMP SEAL,33
BISSELLS,45
BLACK EQUIPMENT,42
BLUEGRASS STOCKYARDSRICHMOND,42
BLUEGRASS TRUSS,23
BUCYRUS FIELD SVC,45
CAKY,42
CAMARGO TRANSMISSIONS,81
CIRCLE T OIL,32
CLIFTY FARM COUNTRY HAM,44
CLINTON COUNTY NEWS,32
COFFMAN HOME DECOR,44
COFFMANS,54
COLE LUMBERMADISONVILLE,44
COMBS PARSONS COLLINS FNRL,81
COMMONWEALTH AGRI ENERGY,23
CREATIONS SPORTSWEAR,33
CREATIVE INTERIORS,44
D C MACHINE,33
DANE SHEET METAL,23
DANVILLLE OFFICE EQUIPMENT,33
DONE IN 60 SECONDS ONLINE VD,45
DREAM FURNITURE OF MIDDLESBORO,44
DYNAMIC SECURITY,56
ECONOMY BOAT STORE,44
EHRLERS MICRO DAIRY,44
EQUIPMENT SALES RENTALS,53
F WOLKOW SONS,33
FARMERS ENERGY PROPANE PLUS,45
FARRIER PRODUCT DISTRIBUTION,42
FIFTHREGIONOFFICIALSSUPPLIES,33
FITZPATRICKS FURNITURE APPL,44
FLOORS UNLIMITED,23
FREEDOM FURNITURE ELECTRONIC,44
FUEL EXPRESS,44
GAMMA TECH,42
GENERAL STEEL CRANE,23
GREAT AMERICAN HOME FLOOR,44
GROGANS HEALTHCARE SUPPLY,42
HAMLIN KERSEY AUDIOVIDEO,44
HARD HAT,31
HARDY BRAKE ELECTRIC,42
HARLAN CENTER,51
HAWLEY PRODUCTS,33
HIGEAR,33
HOOPERS OUTDOOR CTR,44
HOSKIN MUIR,32
HOWARDS OVERHEAD DOORS,44
HULTMAN SIGNS SCREEN PRINTING,31
INKSPOT CUSTOM PRINTED TSHIRT,32
INTERNATIONAL MOBILE HOMES,45
INTERSTEEL,33
J EDINGER SON,42
JAKES FIREWORKS,42
JEFFRIES AUTO SALVAGE,42
JOHN R GREEN,42
JONES PLASTIC ENGINEERING,32
JUDY CONSTRUCTION,42
KEN API SUPPLY,42
KENTUCKY NEW ERA,51
KING LIVESTOCK,54
KINGSWAY SKATELAND,71
KLEIN BROTHERS LOCKSMITHSAFE,56
LONDON TRUCK PARTS EQUIPMENT,44
LOUIS J HEIMBROCK REFRACTORY,32
M D ELECTRICAL SUPPLY,44
MAC PRODUCTIONS,51
MAGGARDS SECURITY,42
MAYS LICK MILL,31
MIDWEST MATERIAL HANDLING,42
MUDDS FURNITURE SHOWROOMS,44
MY SOLAR SHOP,23
NCTC,51
OSER PAINT FLOORING,44
OWEN CLEANERS,81
PARKS REPAIR PARTS,33
PERRYS AMERICAN GALLERY,44
PIONEER SUPPLY,42
PREISER SCIENTIFIC,42
RECYCLING EXPRESS,42
RELOGISTICS SERVICES,42
RUSSELL REGISTER,51
SALEM TOOL,33
SANDOLLAR LIMOUSINE SVC,48
SHELTOWEE TRACE OUTFITTERS,44
SHOW TIME SIGN,33
SIGN SOURCE,33
SIGNMAKERSHARDIN COUNTY,33
SMITH MOBILE HOMES,32
TERREGEN,44
TRI COUNTY INDL SUPPLY,32
TROUTMAN SIGN GRAPHICS,54
UNITED VALLEY BELL,31
VICTOR ENTERPRISES,33
WALKER FABRICS,31
WARE FUNERAL HOME,81
WAYNE LUMBER,32
WELDING EQUIPMENT REPAIR SVC,81
WHITE STONE,32
MACFADDEN COMMUNICATIONS GROUP PIZZA EXPO AND PIZZA TODAY BUSINESS,
SUWANNEE LUMBER,42
SENTRY DATA SYSTEMS,54
DOCKWISE YACHT TRANSPORT,42
KSC STUDIO,54
ENHANCED RECOVERY,56
INTEGRATED SUPPLY NETWORK,42
YELLOWPEPPER,56
DCR ENGINEERING SERVICES,54
CHRISAL GROUP,
MEET,
ACCOUNTINGFLY,54
ALLEGIANCE CRANE EQUIPMENT,53
LATITE ROOFING AND SHEET METAL,23
ALLIED AEROFOAM PRODUCTS,42
VENTURES TECHNOLOGIES,
CHAIN ELECTRIC,23
VEGASTER,
KINDR,
ONLINE PR MEDIA,
VIA SEATING,
GRAY LINE OF TENNESSEE,
PROJECT 10K,
502 MEDIA GROUP,54
ADVANCE ELECTRIC,23
AFFILIATED MEDICAL SVC LAB,62
AGVANTIS,11
ARCHITECTURAL CAST STONE,44
B J PEERLESS FOOD SVC EQPT,42
BELL MIRROR GLASS,44
BETZEN TRENCHING,23
BOILERMAKERBLACKSMITH,52
BUILDERS,53
CAR PARK,81
CDL ELECTRIC,23
CENTRAL STEEL,33
COMMUNICATIONS TECHNOLOGY ASSC,42
CONCRETE UNLIMITED,23
COORDINATED SYSTEMS SUPPLIES,32
CORESLAB STRUCTURES,32
CROWN DISTRIBUTORS,42
DB2 SERVICES,23
DE BACKERS HEATING AIR,81
DESIGN MECHANICAL,23
DISCOVERY FURNITURE,33
EBY CONSTRUCTION,23
EW7 PRODUCTS,44
FAITH FURNITURE STORE,44
FAMILY RESOURCE CTR,62
FLORISTS REVIEW ENTERPRISES,51
FRANK WILLIAMS OUTREACH CTR,62
FURNITURE ON CONSIGNMENT,45
GRAF ELECTRIC,23
GRANDSTAND SPRTSWEAR GLASSWEAR,32
GREENWAY ELECTRIC,51
H C INSULATIONS,23
HALL INDUSTRIAL CRANE SALES,48
HAW RANCH FEEDLOT,11
HEALTH FACILITIES GROUP,54
HEALTH STRATEGIES LIFE,71
HELNEN LANDSCAPE IRRIGATION,56
HEUMANN ASSOC DENTAL LABS,33
HUTCHINSON RECREATION COMMN,71
IN THE BAG CLEANERS,81
INNOVISION,56
INTEGRATED SOLUTIONS,54
ISG TECHNOLOGY,54
J F DENNEY PLUMBING HEATING,42
JOES PROFESSIONAL DETAIL CTR,81
KANSAS FIRE EQUIPMENT,23
KAW ROOFING SHEET METAL,23
KTUSA SYSTEMS,81
KUNSHEK CHAT COAL,21
LAMPTON WELDING SUPPLY,42
LANGLEY RECYCLING OF TOPEKA,42
LEGEND SENIOR LIVING CORP OFC,23
LEXECO,23
LINDER ASSOC,23
LOCKWOOD,32
LOGAN BUSINESS MACHINES,42
MANHATTAN MERCURY,51
MARTIN INTERCONNECT SVC,33
MARTIN ROOFING,23
MASTER TEACHER,51
MIDPOINT NATIONAL,51
MIDWEST CORPORATE AVIATION,48
MILLERSTAUCH CONSTRUCTION,23
MIZE HOUSER CO PA,54
MORROW FOUNDRY,33
MOSLEY STREET MELODRAMAS,71
MSI SERVICE,23
NAISMITH HALL,72
OREAD HOTEL,72
PALS GLASS SVC,44
PINES INTERNATIONAL,42
PIPING CONTRACTORSKANSAS,23
PRECISION ELECTRICAL CONTR,23
PRESTIGE HOME HEALTH,62
R F FISHER ELECTRIC,23
RAND GRAPHICS,32
ROBERTS HUTCHLINE,45
ROTH HEATING AIR,23
SALINA IRON METAL,42
SALINA STEEL SUPPLY,23
SALINA SUPPLY,44
SALINA SURGICAL HOSPITAL,62
SCHMIDTLEIN EXCAVATING,23
SCHWAB EATON,54
SCOTCH FABRIC CARE SVC,81
SCOTT RICE OFFICE WORKS,44
SHAMROCK TIRE,81
SLOPE SKI SHOP,45
SOUTHWEST PRO VEHICLES,48
SPANGENBERG PHILLIPS TICE,54
SPEC BUILDING MATERIALS,42
SPRAY EQUIPMENT SVC CTR,42
STANION WHOLESALE ELECTRIC,42
STURDIBILT STORAGE BARNS,23
SUBURBAN LANDSCAPE MANAGEMENT,23
T O P EARLY LEARNING CTR,62
TAYLOR CRANE RIGGING,23
TEN AT THE ELDRIDGE,72
TILLIES FLOWER SHOP,45
TO EXTREME OUTDOOR PODUCTS,44
TOTAL ELECTRIC,33
TOTAL INTERIORS,23
TREANOR ARCHITECTS PA,54
TWIN POWER,42
UNIVERSAL MANAGEMENT,53
VAL ENERGY,23
VICTORY ELECTRIC COOP ASSN,22
WAGGONERS,42
WESTERN PLAINS REGIONAL HOSP,62
SUREPOINT MEDICAL,62
WICHITA ICE CTR,45
WICHITA SUITES HOTEL,72
WILSON BUILDING MAINTENANCE,56
WINTER LIVESTOCK,42
WORKFORCE ALLIANCES CENTRAL,56
WRAY SONS ROOFING,23
YARD,44
YOUNG ELECTRIC,54
LIGHTMAIL,MI
LARIO OIL GAS,21
BEAVER DRILL TOOL,42
MIDWAY WHOLESALE,42
RECOVERY SOLUTIONS,56
RELIABLE MEDICAL SUPPLY,42
ARKANSAS SOUTHERN RAILROAD,48
HARTWIG,33
SOUTH WIND WOMENS CTR,62
KANSAS HEALTH ETHICS,62
C S CAREY,23
LARIO ENTERPRISES,21
BRADKENENGINEERED PRODUCTS,33
FAMILY HEALTH AMERICA,62
PAUL DAVIS RESTORATIONGREATER,23
CRITICOM MONITORING SVC,56
MID STATES SUPPLY OF KANSAS,32
PONDEROSA DAIRIES,11
FAST TOWING,48
MARIANAS TORTILLERIA FACTORY,33
RED APPLE FIREWORKS,42
GATSKI COMMERCIAL REAL EST SVC,54
LRS SYSTEMS,62
ALAMISS,42
BAY ST LOUIS NEWSPAPERS,51
BONDS JANITORIAL,56
CANAMEXCARBRA TRANSPORTATION,48
CIRCLE G TRACTOR SALES,42
FLY TIMBER,11
HANKINS,32
J M JONES LUMBER,32
JACKSON IRON METAL,33
JACKSON TRAILER EQUIPMENT,53
ODOM INDUSTRIES,32
PRIMARY PHARMACEUTICALS,42
SHARKEYISSAQUENA CMNTY HOSP,62
SOUTH MS ELECTRIC POWER ASSN,22
UTILITY TRAILER SALES OF MS,23
DIXIE MAT HARDWOOD,32
ONEAL BOND ENGINEERING,54
FLY WAY EXPRESS,48
MIDSOUTH TIMBER,42
HARTSONKENNEDY CABINET TOP,33
BUILDINGS TRAILERS MORE,23
TECUMSEH PRODUCTS,33
SMITH BROTHERS TIMBER,42
BOWMAN CABINET,33
A B A DIRECTIONAL DRILL,23
TELEPAK NETWORKS,51
GWMURPHY,42
CUSTOM WOOD CRAFTS,23
AYRSHIRE ELECTRONICS OF MS,33
PILGRIM TRUCKING EXCAVATION,56
E 4 CATTLE,42
AMERICAN TANK VESSEL,33
PROGRESSIVE PIPELINE,23
PINNACLE SECURITY,42
TRI STATE PROTECTION AGENCY,56
FXI,32
FANVESTER,
IKERD MINING,
WESTEN DENTAL GROUP,
KENTUCKIANA NURSING SERVICE,
SURGICAL ENERGETICS,
GUN MEDIA,
STORAGE MAX,
ENTOMOLOGY SOLUTIONS,
MISC GOODS,
BOOTH ENERGY GROUP,21
CRS DEMOLITION,42
LAGCO,23
TROCAL,42
THE FEDERAL MATERIALS,32
FINNEY,23
SHIELD ENVIRONMENTAL ASSOCIATES,54
COLUMBIA MEDICAL EQUIPMENT,53
S D WOODSTOVES POOLS,45
GRAYSON HOUSING,62
BILL ADAMS CONSTRUCTION,23
HUDSON GIANT TIRES,44
HYDEN CONCRETE,32
KLM MECHANICAL SERVICE,23
LOUISVILLE AUTO SPRING BRAKE,42
GRAFTPELLE,42
GUNTER CONSTRUCTION ROOFING,23
J B EQUIPMENT,42
HYLAND FILTER SERVICE OWENSBORO,42
GREEN RIVER VALLEY WATER DISTRICT,22
HUBBARDS BUILDING SUPPLIES,44
HUBBUCH IN KENTUCKY,54
THE POLING,23
BRUTONS WHOLESALE AND SUPPLY,42
ROBERT HARAGAN,42
KEMPER TELEVISION APPLIANCE AND FURNITURE,44
TWO BY 2000 AREA ADVERTISING,42
RIO GRANDE FENCE,23
WILLARD MILLING,31
DREAMWELL,45
CONCURRENT TECHNOLOGIES,54
AMSTED RAIL,42
UNIVERSITY OF UTAH RESEARCH FOUNDATION,54
OLIN,33
BROWN WILLIAMSON TOBACCO,31
YORK INTERNATIONAL,33
,52
HILLERICH BRADSBY,33
DPL TECHNOLOGY HOLDING,
BSAFE ONLINE,
MSD CONSUMER CARE,32
DENTSPLY INTERNATIONAL,33
MEI,33
RP SCHERER TECHNOLOGIES,
LAWRENCENELSON,45
AQUA GLASS,33
COMMSCOPE SOLUTIONS PROPERTIES,33
ULECTRA,
ZKAT,
HM RICHARDS,33
SPIRIT AEROSYSTEMS,33
CUMBERLAND PHARMACEUTICALS,32
EMERSON POWER TRANSMISSION MANUFACTURING,33
ED BULLARD,33
TRI STATE DISTRIBUTION,32
EOD TECHNOLOGY,56
FLAMEKEEPER,
CONVATEC TECHNOLOGIES,54
WELLMAN,32
GENERAL CABLE TECHNOLOGIES,33
NEWGY INDUSTRIES,33
SKYHAWKE TECHNOLOGIES,45
HARSCO,33
MICASA TRADING,42
WORLDCOM,56
UNWIRED PLANET,51
HUMANA,52
MANITOWOC CRANE COMPANIES,33
ORMAT TECHNOLOGIES,54
CARDIOMEMS,33
ECONOMY TENT INTERNATIONAL,31
UNIVERSITY OF KANSAS,61
SKINVISIBLE PHARMACEUTICALS,32
MRI INTERVENTIONS,33
KANSAS STATE UNIVERSITY RESEARCH FOUNDATION,61
JLG INDUSTRIES,42
SMARTSYNCH,51
HARRAHS OPERATING,72
INTERNATIONAL COMFORT PRODUCTS,33
GALILEO GROUP,72
NORTHROP GRUMMAN SHIP SYSTEMS,33
SOUTHERN IMPACT RESEARCH CENTER,37
AFG INDUSTRIES,32
GE HARRIS RAILWAY ELECTRONICS,33
U T BATTELLE,54
HILLS PET NUTRITION,42
DYNALOY,
TWYFORD PLANT LABORATORIES,
MAO,42
INNOVATIVE DISPLAY PRODUCTS,
RENESSENZ,32
SEMISOUTH LABORATORIES,54
KRAUSE PLOW,33
IIVI,42
HALTON,33
PYTHON PERFECT CUTTER,
ORTHOPAEDIC RESEARCH INSTITUTE,54
SOUTHERN MOTION,42
GAMING PARTNERS INTERNATIONAL USA,
GEORGIA PACIFIC,62
WELLNESS,62
PLIANT,32
NANOSPHERE,32
LIVETV,51
HOWARD INDUSTRIES,42
UNISON INDUSTRIES,33
ELIZABETH CARBIDE KENTUCKY,33
SHAW AERO DEVICES,
TELEMICS,33
EMISSION CONTROLS,
ELEMENTIS PIGMENTS,42
AT T KNOWLEDGE VENTURES,51
AERVOE INDUSTRIES,32
SIGMA INDUSTRIES,33
THE UNIVERSITY OF KANSAS,
COOL ENERGY,
SPINAL USA,42
NOKIA,
EMC SATCOM TECHNOLOGIES,
HEARTLAND PREMIUM BEEF,
SIGNATURELINK,44
BUCKEYE TECHNOLOGIES,32
AXION POWER INTERNATIONAL,23
ERGON,42
THOMAS BETTS,33
GAMING PARTNERS INTERNATIONAL,33
LRM INDUSTRIES,
NATIONAL INSTITUTE FOR STRATEGIC TECHNOLOGY ACQUISITION,54
USERCENTRIC ENTERPRISES,
GENSCAPE INTANGIBLE HOLDING,51
EMESHEL,33
EMERSON POWER TRANSMISSION,33
MICROTEK MEDICAL,33
MIDWEST GRAIN PRODUCTS,31
ARCHVISION,54
EAGLE GREEN ENERGY,23
CARDINAL BRANDS,33
XALOY,33
HC MATERIALS,33
NANOMAT,
COMPLETE SURVEILLANCE SOLUTIONS,
STAINLESS SYSTEMS,42
MISSISSIPPI CHEMICAL,32
FORCELIGHTS,
ZIRCORE,
FORTUNET,33
GTX,32
BROOKS RANGE PETROLEUM,
KAPPES CASSIDAY ASSOCIATES,54
LIBRA RESOURCES,38
BOULDER CAPITAL TRADING,
THE MASTERS DREDGING,
D Y LABORATORIES,
KANSAS DEPARTMENT OF TRANSPORTATION,92
ATLAS ROOFING,32
SYPRIS TECHNOLOGIES,33
SOLAR GROUP,32
NAILITE INTERNATIONAL,44
STATION CASINOS,71
OSTEOGENEX,62
TENNESSEE VALLEY AUTHORITY,22
HOOD PACKAGING,32
DIVERSIFIED TECHNOLOGY,33
FIRST CHEMICAL,32
GROUPON,45
MOBILIS SYSTEM,
EMERSON ELECTRIC,33
SPRINT AEROSYSTEMS,
HUMANA INNOVATIONS ENTERPRISES,52
HELPFUL ALLIANCE,
INKOLOGY,32
MPYRE,
ZEOCHEM,42
RAYTHEON,
WEATHERDATA,54
OMEGA MOTION,42
MCIWORLDCOM,
F F ACQUISITION,42
KENTUCKY DERBY HOSIERY,52
BIG RIVER ZINC,32
WICHITA STATE UNIVERSITY,61
MIRAGE RESORTS,72
GBC METALS,33
NEW WAVE LENDERS 2013,
IDENT IMAGING,51
OUTDOOR KITCHEN CONCEPTS,44
DAK AMERICAS MISSISSIPPI,32
USERCENTRIC IP,
CYPRESS PHARMACEUTICALS,42
ATCHISON PRODUCTS,MI
CISSELL MANUFACTURING,33
REMCO TECHNOLOGIES,42
AEROKINETIC ENERGY,
ORLEANS FURNITURE,33
MAVIZON,51
ASF KEYSTONE,33
ARVEDA,33
METTECH,42
HIGHWALL TECHNOLOGIES,
AMARR GARAGE DOORS,44
KANSAS UNIVERSITY RESEARCH FOUNDATION,
HMX,54
OSSEO IMAGING,
BENCHCRAFT,33
ECCC,
BIG DOG MOTORCYCLES,
INTELLIGENXIA,MI
ACTION GAMING,56
INGALLS SHIPBUILDING,33
GENERAL ELECTRIC,33
INDUSTRIAL BUILDING,
CLEANWATER TECHNOLOGIES,
LONG JOHN SILVERS,72
DAVID KRIEN,
ACME EMBEDDED SOLUTIONS,54
MISSISSIPPI POLYMER TECHNOLOGIES,
GOMA ENTERPRISES,
AMERICAN INSTITUTE OF BAKING,61
ORTHODYNAMIX,
AMERICAN ENERGIES,21
VIA CHRISTI RESEARCH,54
CROWN PRODUCTS,33
RELIGHT AMERICA,
THE GLOBE RESOURCES GROUP,
SIGN MEDIA SYSTEMS,
BLUE SKY INVESTMENTS,52
MGI USA,42
LUVATA GRENADA,33
VERMONT AMERICAN,33
LAKE EDDINS,23
AMETEK,33
RED OAK EQUESTRIAN,
EARTHINEER,MI
HIGH GRAVITY RESOURCES,MI
AVIATOR CAPITAL US FEEDER FUND,
GT GLOBAL OPPORTUNITIES II,
GT KOREA,
GT PARTNERS,
ARTISTS DIE BEST IN BLACK,MI
PEARL BROOK INTERNATIONAL ALPHA,MI
TCA GLOBAL CREDIT FUND,MI
PYA ANALYTICS,54
MOLPUS WOODLANDS FUND IV,53
MIDLAND INTERNATIONAL EQUITY QP FUND L P,
AOK PAWN SHOP,52
COVENANT FINANCIAL,55
DEMOSS ALTERNATIVE OPPORTUNITIES OFFSHORE FUND,
ENCORE GAMING,
POINTER,
XYMOGEN,
BLI 8,53
URBAN US PUBLIC BENEFIT,MI
TRANS PACIFIC ENERGY PARTNERS III,MI
SAPELO MULTISTRATEGY DIVERSIFIED FUND,
SIGMATRON INTERNATIONAL,33
TSW II OFFSHORE SPC,56
HEART ATTACK STROKE PREVENTION CENTER OF NEW ALBANY,62
AGSMARTS,
NAVAGIS,81
MJ HOLDINGS,56
YEHIVE,51
YAZOO CAPITAL,55
FUSION ADVANCES,
FIRST SECURITY,55
DUPREE ENERGY RESOURCES,MI
MYDISTRIKT,54
JACKSONVILLE BANCORP INC FL,55
LAUREN TEMPLETON GLOBAL MAXIMUM PESSIMISM FUND L P,52
SOUTHERLAND,33
2013 BAYOU CITY TRINITY BAY DRILLING PROGRAM,MI
ALLIANCE COST CONTAINMENT,54
COLLEGEFROG,44
2013 BAYOU CITY SEABREEZE FIELD DEVELOPMENT,MI
BLACK SHOPPING CHANNEL,44
BLACKWATCH CAPITAL FUND,MI
COFFEYVILLE BANCORP,
EVOMAIL,51
PETROTECH RESOURCES CORP 2013 #1 PROGRAM,21
PROMETHEUS FRANCHISE RESTAURANT HOLDINGS,
AMERICAN FUEL PRODUCERS,
EON COMMUNICATIONS,51
GULFSTREAM CAPITAL FARMLAND FUND,
MOON CAPITAL MANAGEMENT,52
NOT SAFE FOR WORK,
JEWELS BOUTIQUE,44
SIXTEN GROUP,72
TENNESSEE STILLHOUSE,31
POINTER QP II,52
ROCKRIDGE CAPITAL FUND,
TAM ACCESS US,
TIMUCUAN FUND,
2012A BAYOU CITY DRILLING PROGRAM,MI
BBL ENTERPRISES,
COPIAH BANCSHARES,55
FIRST UNITED BANCORP,52
HIGHWAY 30,
COMMERCE BANK TRUST HOLDING,55
2011 BAYOU CITY SQUEEZE BOX OFFSET PROGRAM,MI
4 RIVERS SMOKEHOUSE OF WINTER PARK,72
HEARTLAND OPPORTUNITY PARTNERS,MI
ROWDMAP,MI
KLEO,54
ABC LEASING,53
OCHO GLOBAL,54
CLOUDSNAP,54
2012 BAYOU CITY YEAR END PROGRAM,MI
BC WOOD REAL ESTATE FUND,23
BANCORP OF OKOLONA,55
GRAIN INFRASTRUCTURE FUND II,
HORIZON ANALOG,81
2011 BAYOU CITY TWO WELL DRILLING PRODUCTION PROGRAM,MI
HOME BANCGROUP,
KLAMATH BASIN GEOPOWER,23
LIPARI ENERGY,21
2011C BAYOU CITY OFFSET DRILLING PROGRAM,MI
BBF,
BLADDER HEALTH VENTURES,62
GRASSHOPPERS DISTRIBUTION,42
715 RESTAURANT,72
BIOSTEM US,81
TECHNOLOGY VENTURES FUND I,
ARGOSY GROUP,56
BLUEPEARL VETERINARY PARTNERS,54
BLUE RIDGE OPPORTUNITY FUND III,21
COMMERCIAL CAPITAL,52
MVA CAPITAL GROUP,MI
ORION VENTURE II PONCE,56
PRAIRIE HILLS,
SPATIAL INFORMATION SOLUTIONS,42
WATERSAVER TECHNOLOGIES,33
FLETCHALL MICHAELRYAN,51
GRAND TOURING VODKA,42
PETROTECH RESOURCES 2010 PROGRAM #1,
PETROTECH RESOURCES CORP RICHEY JANES#8B PROGRAM,
WINDSPIRE ENERGY,33
AUDIGENCE,54
BAYOU CITY LOUISIANA DRILLING PROGRAM,MI
CELSIA TECHNOLOGIES,54
JACKSON FINANCIAL,52
PETROTECH RESOURCES CORP 2010 #2 PROGRAM,
